date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:38:00	158980/158980	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2009:38:00%20GMT	https://portotheme.com/html/molla/index-25.html	/home/jjmbela/websites/Jewelry%20ecommerce%20store/portotheme.com/html/molla/index-25.html	(from )
12:38:01	31/31	---M--	200	added ('OK')	text/plain	date:Fri,%2012%20Jul%202024%2009:38:01%20GMT	https://portotheme.com/robots.txt		(from )
12:38:02	13188/13188	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2026%20Oct%202020%2007:26:16%20GMT	https://portotheme.com/html/molla/assets/js/webfont.js	/home/jjmbela/websites/Jewelry%20ecommerce%20store/portotheme.com/html/molla/assets/js/webfont.js	(from https://portotheme.com/html/molla/index-25.html)
12:38:02	1105/1105	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Oct%202020%2007:26:14%20GMT	https://portotheme.com/html/molla/assets/images/icons/apple-touch-icon.png	/home/jjmbela/websites/Jewelry%20ecommerce%20store/portotheme.com/html/molla/assets/images/icons/apple-touch-icon.png	(from https://portotheme.com/html/molla/index-25.html)
12:38:03	369/369	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Oct%202020%2007:26:14%20GMT	https://portotheme.com/html/molla/assets/images/icons/favicon-32x32.png	/home/jjmbela/websites/Jewelry%20ecommerce%20store/portotheme.com/html/molla/assets/images/icons/favicon-32x32.png	(from https://portotheme.com/html/molla/index-25.html)
12:38:05	303/303	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Oct%202020%2007:26:14%20GMT	https://portotheme.com/html/molla/assets/images/icons/favicon-16x16.png	/home/jjmbela/websites/Jewelry%20ecommerce%20store/portotheme.com/html/molla/assets/images/icons/favicon-16x16.png	(from https://portotheme.com/html/molla/index-25.html)
12:38:05	434/434	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2026%20Oct%202020%2007:26:14%20GMT	https://portotheme.com/html/molla/assets/images/icons/site.webmanifest	/home/jjmbela/websites/Jewelry%20ecommerce%20store/portotheme.com/html/molla/assets/images/icons/site.webmanifest	(from https://portotheme.com/html/molla/index-25.html)
12:38:07	905/905	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Oct%202020%2007:26:14%20GMT	https://portotheme.com/html/molla/assets/images/icons/safari-pinned-tab.svg	/home/jjmbela/websites/Jewelry%20ecommerce%20store/portotheme.com/html/molla/assets/images/icons/safari-pinned-tab.svg	(from https://portotheme.com/html/molla/index-25.html)
12:38:08	15086/15086	---MCZ	200	added ('OK')	image/x-icon	date:Mon,%2026%20Oct%202020%2007:26:14%20GMT	https://portotheme.com/html/molla/assets/images/icons/favicon.ico	/home/jjmbela/websites/Jewelry%20ecommerce%20store/portotheme.com/html/molla/assets/images/icons/favicon.ico	(from https://portotheme.com/html/molla/index-25.html)
12:38:09	28101/28101	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Oct%202020%2007:26:10%20GMT	https://portotheme.com/html/molla/assets/vendor/line-awesome/line-awesome/line-awesome/css/line-awesome.min.css	/home/jjmbela/websites/Jewelry%20ecommerce%20store/portotheme.com/html/molla/assets/vendor/line-awesome/line-awesome/line-awesome/css/line-awesome.min.css	(from https://portotheme.com/html/molla/index-25.html)
12:38:11	13154/13154	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Oct%202020%2007:26:10%20GMT	https://portotheme.com/html/molla/assets/css/plugins/owl-carousel/owl.carousel.css	/home/jjmbela/websites/Jewelry%20ecommerce%20store/portotheme.com/html/molla/assets/css/plugins/owl-carousel/owl.carousel.css	(from https://portotheme.com/html/molla/index-25.html)
12:38:11	155758/155758	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Oct%202020%2007:26:09%20GMT	https://portotheme.com/html/molla/assets/css/bootstrap.min.css	/home/jjmbela/websites/Jewelry%20ecommerce%20store/portotheme.com/html/molla/assets/css/bootstrap.min.css	(from https://portotheme.com/html/molla/index-25.html)
12:38:12	8185/8185	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Oct%202020%2007:26:10%20GMT	https://portotheme.com/html/molla/assets/css/plugins/magnific-popup/magnific-popup.css	/home/jjmbela/websites/Jewelry%20ecommerce%20store/portotheme.com/html/molla/assets/css/plugins/magnific-popup/magnific-popup.css	(from https://portotheme.com/html/molla/index-25.html)
12:38:12	1440/1440	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Oct%202020%2007:26:10%20GMT	https://portotheme.com/html/molla/assets/css/plugins/jquery.countdown.css	/home/jjmbela/websites/Jewelry%20ecommerce%20store/portotheme.com/html/molla/assets/css/plugins/jquery.countdown.css	(from https://portotheme.com/html/molla/index-25.html)
12:38:15	448775/448775	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Oct%202020%2007:26:09%20GMT	https://portotheme.com/html/molla/assets/css/style.css	/home/jjmbela/websites/Jewelry%20ecommerce%20store/portotheme.com/html/molla/assets/css/style.css	(from https://portotheme.com/html/molla/index-25.html)
12:38:15	31228/31228	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Oct%202020%2007:26:09%20GMT	https://portotheme.com/html/molla/assets/css/skins/skin-demo-25.css	/home/jjmbela/websites/Jewelry%20ecommerce%20store/portotheme.com/html/molla/assets/css/skins/skin-demo-25.css	(from https://portotheme.com/html/molla/index-25.html)
